Sample identifier,Sample Name,formation,minerology,composite height,d13C ,d18O,Through Rad Sr Columns,Through Stable Sr Columns,rsWheel Number,rsDate,rsSample mass for analysis (600 ng Sr),87/86Sr,rsInternal Precision,rsRep 1 Wheel #,rsRep 1 date,rsRep1 87/86Sr,rsRep 1 internal precision,rsRep 2 Wheel #,rsRep 2 date,rsRep 2 88/86,rsRep 2 internal precision,,,,ssSample mass for analysis,ssSpike mass for analysis,,Wheel #,Date run on TIMS,88/86Sr,Internal Precision,,Rep 1 Wheel #,ssRep 1 date,ssRep 1 ,ssRep 1 internal precision,,CaSample mass for analysis (g) ,Ca spike mass (g),thru columns w Tia,Wheel #,Date run on TIMS,44/40Ca,Internal Precision,,Rep 1 Wheel #,CaRep 1 date,CaRep 1 ,CaRep 1 internal precision,Sr ppm,Ca ppm,Mg ppm,Mn ppm,SrCa (ppm/ppm),Mn/Sr (ppm/ppm),d44 higgins,Primary minerology,Sr/Ca (mmol/mol),Mg/Ca (mmol/mol),Mn/Ca (μmol/mol),Mn/Sr (mmol/mmol),Mountain composite height
MDE2 154.7,SO1,Shuram,Calcite,490.70,-11.30,-8.58,,,W968,5/12/21,0.57781,0.70911,1.00E-05,,,,,,,,,,,,0.57292,0.61162,,W974,6/4/21,0.321,0.00800,,,,,,,0.031942,0.59769,,957,3/18/21,-0.875,0.023,,,,,,245.244,2868.71,31.95,28.544,0.085,0.1164,,Primary Calcite,,,,,
MDE 293,SO2,Khufai,Dolomite,340.30,-6.16,-6.70,12/7/20,,W941,1/5/21,1.82895,0.70885,6.00E-06,,,,,,,,,,,,1.80109,0.59702,,W974,6/4/21,0.346,0.00800,,,,,,,0.03804,0.60704,,W951,2/9/21,-0.757,0.022,,,,,,77.490,2401.30,366.31,1.773,0.032,0.0229,,Dolomite,,,,,
MDE 287.5,SO3,Khufai,Dolomite,337.10,1.04,-5.62,,,,,0.59883,,,,,,,,,,,,,,1.02216,0.59963,,W976,6/11,,,,,,,,,0.04855,0.58718,,W953,2/24/21,-0.707,0.022,,,,,,118.784,2107.82,1186.71,3.411,0.056,0.0287,,Dolomite,"meh, potential re run",,,,
MDE 293.4,SO4,Khufai,Dolomite,343.00,-8.56,-6.56,,,W968,5/12/21,0.88675,0.70921,1.00E-05,,,,,,,,,,,,0.88311,0.5978,,W972,6/1/21,0.301,0.00802,,,,,,,0.05634,0.59128,,W953,2/24/21,-0.893,0.024,,,,,,157.854,1570.12,894.91,4.286,0.101,0.0272,,Dolomite,,,,,
MDE 291.1,SO5,Khufai,Dolomite,340.70,-1.92,-5.85,,,W968,5/12/21,0.76336,0.70860,1.00E-05,,,,,,,,,,,,0.76316,0.61805,,W972,6/1/21,0.240,0.00763,,,,,,,0.05667,0.58045,,W951,2/9/21,-0.606,0.022,,,,,,180.536,1577.63,885.75,3.520,0.114,0.0195,,Dolomite,,,,,
MDE2 1.7,SO6_A,Khufai,Dolomite,337.70,-0.29,-5.52,,,W978,6/14/21,0.5918,0.70861,7.00E-06,,,,,,,,,,,,0.598,0.61082,,W1026,2/8/22,0.174,0.00743,,W1026,2/8/22,0.1742694,0.0074262,,0.0489,0.58888,,W953,2/24/21,-0.685,0.025,,,,,,210.061,1990.44,1136.20,5.846,0.106,0.0278,,Dolomite,,,,,
MDE2 1.7,SO6_B,Khufai,Dolomite,337.70,-0.29,-5.52,,,W968,5/12/21,0.30571,0.70863,1.00E-05,,,,,,,,,,,,0.31245,0.6253,,W1026,2/8/22,0.155,0.00775,,W1026,2/8/22,0.1549693,0.0077478,,0.05073,0.57854,,W953,2/24/21,-0.695,0.025,,,,,,429.573,1849.86,1050.99,5.353,0.232,0.0125,,Dolomite,,,,,
MDE2 6.6,SO7,Shuram,Calcite,422.50,-11.47,-8.34,12/7/20,,W968,5/12/21,0.48159,0.70992,1.00E-05,,,,,,,,,,,,0.48608,0.62095,,W1023.1,1/31/22,0.177,0.00718,,,,,,,0.03391,0.63807,,957,3/18/21,-0.857,0.026,,,,,,303.636,2509.48,26.92,17.832,0.121,0.0587,,Primary Calcite,,,,,
MDE2 173.6,SO8,Shuram,Calcite,509.60,-9.36,-8.35,,,W968,5/12/21,0.45000,0.70966,1.00E-05,,,,,,,,,,,,0.44411,0.60408,,W974,6/4/21,0.085,0.00780,,,,,,,0.02952,0.59187,,957,3/18/21,-0.880,0.018,,,,,,284.863,3367.56,33.23,9.950,0.085,0.0349,,Primary Calcite,,,,,
MD6 258.6,SO9,Khufai,Dolomite,340.70,-3.06,-6.34,,,W970,5/24/21,0.83028,0.70875,1.00E-05,,,,,,,,,,,,0.82905,0.60123,,W974,6/4/21,0.170,0.00912,,,,,,,0.05589,0.58506,,W951,2/9/21,-0.724,0.021,,,,,,171.367,1564.21,869.52,8.595,0.110,0.0502,,Dolomite,,,,,
MDS 0.8,SO10,Shuram/Buah,Calcite,578.30,-9.99,-8.85,,,W979,6/14/21,0.66603,0.70892,7.00E-06,,,,,,,,,,,,0.6677,0.60809,,W972,6/1/21,0.308,0.00745,,,,,,,0.02835,0.61458,,W951,2/9/21,-0.860,0.021,,,,,,185.413,3505.08,43.76,11.651,0.053,0.0628,-0.9400,Primary Calcite,,,,,
